?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000504>		
<http://purl.obolibrary.org/obo/FBbi_00000419>		
<http://purl.obolibrary.org/obo/FBbi_00000528>		
<http://purl.obolibrary.org/obo/FBbi_00000407>		
<http://purl.obolibrary.org/obo/FBbi_00000098>		
<http://purl.obolibrary.org/obo/FBbi_00100015>	"A form of electron tomography in which a cryo-preserved specimen is tilted incrementally in a cryogenic transmission electron microscope to acquire a series of two-dimensional projection images (tilt series), which are then computationally aligned and reconstructed into a three-dimensional volume (tomogram)."	
<http://purl.obolibrary.org/obo/FBbi_00000086>		
<http://purl.obolibrary.org/obo/FBbi_00000195>		
<http://purl.obolibrary.org/obo/FBbi_00000074>		
<http://purl.obolibrary.org/obo/FBbi_00000171>		
<http://purl.obolibrary.org/obo/FBbi_00000062>		
<http://purl.obolibrary.org/obo/FBbi_00000183>		
<http://purl.obolibrary.org/obo/FBbi_00000050>		
<http://purl.obolibrary.org/obo/FBbi_00000280>		
<http://purl.obolibrary.org/obo/FBbi_00000519>		
<http://purl.obolibrary.org/obo/FBbi_00000367>	"Fluorescence (or Forster) resonance energy transfer; a method of estimating the distance between two fluorophores by measuring the extent of non-radiative energy transfer between the two. Experimentally, this involves selective excitation of one while observing emission from the other."	
<http://purl.obolibrary.org/obo/FBbi_00000093>	"Tissue treated to make cell membranes permeable, typically for the purpose of allowing access by exogenous stains or substrates."	
<http://purl.obolibrary.org/obo/FBbi_00000603>	"A mode of microscopy that detects the rotational motion of fluorophores."	
<http://purl.obolibrary.org/obo/FBbi_00000604>		
<http://purl.obolibrary.org/obo/FBbi_00000507>		
<http://purl.obolibrary.org/obo/FBbi_00000616>		
<http://purl.obolibrary.org/obo/IAO_0000225>	"The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<http://purl.obolibrary.org/obo/FBbi_00000097>		
<http://purl.obolibrary.org/obo/FBbi_00000085>		
<http://purl.obolibrary.org/obo/FBbi_00000287>	"Illumination by multiple points of light simultaneously"	
<http://purl.obolibrary.org/obo/FBbi_00000340>	"Structured illumination used at sufficiently high power to cause significant ground-state depletion of the imaged fluorophore, thus allowing for non-linear resolution enhancement"	
<http://purl.obolibrary.org/obo/FBbi_00100010>	"A visualization method that detects a far-red fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000073>		
<http://purl.obolibrary.org/obo/FBbi_00000182>		
<http://purl.obolibrary.org/obo/FBbi_00000061>		
<http://purl.obolibrary.org/obo/FBbi_00000194>		
<http://purl.obolibrary.org/obo/FBbi_00000170>		
<http://purl.obolibrary.org/obo/FBbi_00000268>	"Sources and methods for illumination"	
<http://purl.obolibrary.org/obo/FBbi_00000409>		
<http://purl.obolibrary.org/obo/FBbi_00000615>		
<http://purl.obolibrary.org/obo/FBbi_00000518>		
<http://purl.obolibrary.org/obo/FBbi_00000506>		
<http://purl.obolibrary.org/obo/FBbi_00000594>	"An optical anisotropy that is a constant, intrinsic property of the material."	
<http://purl.obolibrary.org/obo/FBbi_00000080>		
<http://purl.obolibrary.org/obo/FBbi_00000353>	"Uses an objective with extra components to manipulate the wave front in the plane of the objective aperture."	
<http://purl.obolibrary.org/obo/FBbi_00000262>	"Membrane permeabilization by the action of ionic or non-ionic detergents"	
<http://purl.obolibrary.org/obo/FBbi_00000092>		
<http://purl.obolibrary.org/obo/FBbi_00000501>		
<http://purl.obolibrary.org/obo/FBbi_00000610>		
<http://purl.obolibrary.org/obo/FBbi_00000622>		
<http://purl.obolibrary.org/obo/FBbi_00000525>		
<http://purl.obolibrary.org/obo/FBbi_00000404>		
<http://purl.obolibrary.org/obo/FBbi_00000513>		
<http://purl.obolibrary.org/obo/FBbi_00000319>		
<http://purl.obolibrary.org/obo/FBbi_00000549>		
<http://purl.obolibrary.org/obo/FBbi_00000428>		
<http://purl.obolibrary.org/obo/FBbi_00000416>		
<http://purl.obolibrary.org/obo/FBbi_00000537>		
<http://purl.obolibrary.org/obo/FBbi_00000307>		
<http://purl.obolibrary.org/obo/FBbi_00100013>	"A mode of fluorescence microscopy where the entire observed field is illuminated."	
<http://purl.obolibrary.org/obo/FBbi_00000091>		
<http://purl.obolibrary.org/obo/FBbi_00000396>	"Methods of visualization that differentiate between different regions or surfaces of the specimen based on contiguity"	
<http://purl.obolibrary.org/obo/FBbi_00000383>	"Illumination used for the purpose of inducing some observable change in the specimen during the course of an imaging session. This illumination may or may not be the same as the illumination used for imaging. Typically used in conjunction with live-cell imaging"	
<http://purl.obolibrary.org/obo/FBbi_00100014>	"A form of transmission electron microscopy in which the specimen is maintained in a vitrified state at cryogenic temperature throughout imaging. The specimen is rapidly frozen to preserve its native structure in amorphous ice, avoiding the artefacts associated with chemical fixation, dehydration, and staining. Imaging is performed with the specimen held at cryogenic temperature in a transmission electron microscope."	
<http://purl.obolibrary.org/obo/FBbi_00000512>		
<http://purl.obolibrary.org/obo/FBbi_00000621>		
<http://purl.obolibrary.org/obo/FBbi_00000500>		
<http://purl.obolibrary.org/obo/FBbi_00000536>		
<http://purl.obolibrary.org/obo/FBbi_00000415>		
<http://purl.obolibrary.org/obo/FBbi_00000524>		
<http://purl.obolibrary.org/obo/FBbi_00000403>		
<http://purl.obolibrary.org/obo/FBbi_00000209>		
<http://purl.obolibrary.org/obo/FBbi_00000439>		
<http://purl.obolibrary.org/obo/FBbi_00000548>		
<http://purl.obolibrary.org/obo/FBbi_00000427>		
<http://purl.obolibrary.org/obo/FBbi_00000306>		
<http://purl.obolibrary.org/obo/FBbi_00000318>		
<http://purl.obolibrary.org/obo/FBbi_00000393>	"Fixed array of sources focused to an array of spots that is swept over the specimen in raster fashion"	
<http://purl.obolibrary.org/obo/FBbi_00000094>		
<http://purl.obolibrary.org/obo/FBbi_00000082>		
<http://purl.obolibrary.org/obo/FBbi_00000191>		
<http://purl.obolibrary.org/obo/FBbi_00000070>		
<http://purl.obolibrary.org/obo/BFO_0000020>		
<http://purl.obolibrary.org/obo/FBbi_00000344>	"Imaging by means of a physical probe that passes over the sample"	
<http://purl.obolibrary.org/obo/FBbi_00000266>	"Methods and devices used for creating images by some form of artwork, as distinct from capturing images by means of some recording device"	
<http://purl.obolibrary.org/obo/FBbi_00000600>		
<http://purl.obolibrary.org/obo/FBbi_00000612>		
<http://purl.obolibrary.org/obo/FBbi_00000503>		
<http://purl.obolibrary.org/obo/FBbi_00000527>		
<http://purl.obolibrary.org/obo/FBbi_00000406>		
<http://purl.obolibrary.org/obo/FBbi_00000515>		
<http://purl.obolibrary.org/obo/FBbi_00000539>		
<http://purl.obolibrary.org/obo/FBbi_00000418>		
<http://purl.obolibrary.org/obo/FBbi_00100011>	"A visualization method that detects an orange fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000366>	"Fluorescence loss in photobleaching; a method of determining the rate and extent of exchange between a localized population of fluorophore and a non-localized diffusible pool, by observing the rate of recovery of brightness of the localized population after photobleaching."	
<http://purl.obolibrary.org/obo/FBbi_00000190>		
<http://purl.obolibrary.org/obo/FBbi_00000081>		
<http://purl.obolibrary.org/obo/GO_0008150>	"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/BFO_0000031>		
<http://purl.obolibrary.org/obo/FBbi_00000350>	"An illumination method in which the sample is illuminated by light waves of only one polarization, instead of a mix of waves of various polarizations."	
<http://purl.obolibrary.org/obo/FBbi_00000025>	"Unfixed fully hydrated tissue, typically employed to monitor dynamic changes in the living state."	
<http://purl.obolibrary.org/obo/FBbi_root_00000000>		
<http://purl.obolibrary.org/obo/FBbi_00000611>		
<http://purl.obolibrary.org/obo/FBbi_00000514>		
<http://purl.obolibrary.org/obo/FBbi_00000623>		
<http://purl.obolibrary.org/obo/FBbi_00000502>		
<http://purl.obolibrary.org/obo/FBbi_00000417>		
<http://purl.obolibrary.org/obo/FBbi_00000308>		
<http://purl.obolibrary.org/obo/FBbi_00000538>		
<http://purl.obolibrary.org/obo/FBbi_00000526>		
<http://purl.obolibrary.org/obo/FBbi_00000405>		
<http://purl.obolibrary.org/obo/FBbi_00000429>		
<http://purl.obolibrary.org/obo/FBbi_00000521>		
<http://purl.obolibrary.org/obo/FBbi_00000400>		
<http://purl.obolibrary.org/obo/BFO_0000034>		
<http://purl.obolibrary.org/obo/FBbi_00000371>	"Optical coherence tomography; an interferometric method of imaging using back-scattered photons (elastic scattering)"	
<http://purl.obolibrary.org/obo/FBbi_00000290>	"Illumination parallel or at small angles to the optical axis is attenuated or blocked by a stop"	
<http://purl.obolibrary.org/obo/FBbi_00000424>		
<http://purl.obolibrary.org/obo/FBbi_00000315>		
<http://purl.obolibrary.org/obo/FBbi_00000545>		
<http://purl.obolibrary.org/obo/FBbi_00000327>		
<http://purl.obolibrary.org/obo/FBbi_00000206>		
<http://purl.obolibrary.org/obo/FBbi_00000533>		
<http://purl.obolibrary.org/obo/FBbi_00000412>		
<http://purl.obolibrary.org/obo/FBbi_00000569>		
<http://purl.obolibrary.org/obo/FBbi_00000448>		
<http://purl.obolibrary.org/obo/FBbi_00000557>		
<http://purl.obolibrary.org/obo/FBbi_00000590>	"The source of the variation in the imaged parameter across the field of view."	
<http://purl.obolibrary.org/obo/FBbi_00000436>		
<http://purl.obolibrary.org/obo/FBbi_00000303>		
<http://purl.obolibrary.org/obo/FBbi_00000109>		
<http://purl.obolibrary.org/obo/FBbi_00000339>		
<http://purl.obolibrary.org/obo/FBbi_00000218>		
<http://purl.obolibrary.org/obo/FBbi_00000532>		
<http://purl.obolibrary.org/obo/FBbi_00100016>	"A form of scanning electron microscopy in which the sample is maintained in a vitrified state at cryogenic temperatures throughout imaging. Sample preservation is achieved through rapid freezing, resulting in vitreous ice formation, which captures native structures while avoiding chemical artifacts. Imaging occurs in a scanning electron microscope while the sample is held at cryogenic temperatures."	
<http://purl.obolibrary.org/obo/FBbi_00000411>		
<http://purl.obolibrary.org/obo/FBbi_00000520>		
<http://purl.obolibrary.org/obo/FBbi_00000264>	"Saponin, a detergent-like molecule, preferentially forms holes in membranes that contain cholesterol."	
<http://purl.obolibrary.org/obo/FBbi_00000205>		
<http://purl.obolibrary.org/obo/FBbi_00000556>		
<http://purl.obolibrary.org/obo/FBbi_00000435>		
<http://purl.obolibrary.org/obo/FBbi_00000544>		
<http://purl.obolibrary.org/obo/FBbi_00000423>		
<http://purl.obolibrary.org/obo/FBbi_00000338>		
<http://purl.obolibrary.org/obo/FBbi_00000217>		
<http://purl.obolibrary.org/obo/FBbi_00000459>		
<http://purl.obolibrary.org/obo/FBbi_00000302>		
<http://purl.obolibrary.org/obo/FBbi_00000568>		
<http://purl.obolibrary.org/obo/FBbi_00000447>		
<http://purl.obolibrary.org/obo/FBbi_00000314>		
<http://purl.obolibrary.org/obo/FBbi_00000037>	"Staining with an aqueous or alcoholic solution of eosin Y,colors eosinophilic structures in various shades of red, pink and orange. The eosinophilic structures are generally composed of intracellular or extracellular protein. The Lewy bodies and Mallory bodies are examples of eosinophilic structures. Most of the cytoplasm is eosinophilic. Red blood cells are stained intensely red."	
<http://purl.obolibrary.org/obo/FBbi_00000229>		
<http://purl.obolibrary.org/obo/FBbi_00000108>		
<http://purl.obolibrary.org/obo/FBbi_00000349>	"Aperture-less NSOM."	
<http://purl.obolibrary.org/obo/FBbi_00000263>	"Permeabilization due to extraction of lipid from membranes by an organic solvent such as acetone or methanol."	
<http://purl.obolibrary.org/obo/FBbi_00000090>		
<http://purl.obolibrary.org/obo/FBbi_00000364>	"Illumination in the form of a thin sheet of light directed perpendicular to the optic axis"	
<http://purl.obolibrary.org/obo/IAO_0000102>	"Data about an ontology part is a data item about a part of an ontology, for example a term"@en	
<http://purl.obolibrary.org/obo/FBbi_00000523>		
<http://purl.obolibrary.org/obo/FBbi_00000402>		
<http://purl.obolibrary.org/obo/FBbi_00000305>		
<http://purl.obolibrary.org/obo/FBbi_00000511>		
<http://purl.obolibrary.org/obo/FBbi_00000399>	"Visualization by exclusion of a stain in which the specimen is immersed; compare with \"positive staining."	
<http://purl.obolibrary.org/obo/FBbi_00000547>		
<http://purl.obolibrary.org/obo/FBbi_00000426>		
<http://purl.obolibrary.org/obo/FBbi_00000535>		
<http://purl.obolibrary.org/obo/FBbi_00000414>		
<http://purl.obolibrary.org/obo/FBbi_00000438>		
<http://purl.obolibrary.org/obo/FBbi_00000559>		
<http://purl.obolibrary.org/obo/FBbi_00000317>		
<http://purl.obolibrary.org/obo/FBbi_00000208>		
<http://purl.obolibrary.org/obo/FBbi_00000329>		
<http://purl.obolibrary.org/obo/FBbi_00000510>		
<http://purl.obolibrary.org/obo/FBbi_00000368>	"A fluorescence microscopy method in which the image contrast is derived from the fluorescence lifetime at each point in a two-dimensional image and not the local concentration and/or intensity of the fluorophore."	
<http://purl.obolibrary.org/obo/FBbi_00000304>		
<http://purl.obolibrary.org/obo/FBbi_00000534>		
<http://purl.obolibrary.org/obo/FBbi_00000413>		
<http://purl.obolibrary.org/obo/FBbi_00000522>		
<http://purl.obolibrary.org/obo/FBbi_00000401>		
<http://purl.obolibrary.org/obo/FBbi_00000316>		
<http://purl.obolibrary.org/obo/FBbi_00000558>		
<http://purl.obolibrary.org/obo/FBbi_00000437>		
<http://purl.obolibrary.org/obo/FBbi_00000546>		
<http://purl.obolibrary.org/obo/FBbi_00000425>		
<http://purl.obolibrary.org/obo/FBbi_00000449>		
<http://purl.obolibrary.org/obo/FBbi_00000207>		
<http://purl.obolibrary.org/obo/FBbi_00000328>		
<http://purl.obolibrary.org/obo/FBbi_00000219>		
<http://purl.obolibrary.org/obo/FBbi_00000311>		
<http://purl.obolibrary.org/obo/FBbi_00001005>	"Tomography in which virtual sections are taken from multiple angles and the results are processed via tomographic reconstruction software to produce 2 or 3D images."	
<http://purl.obolibrary.org/obo/FBbi_00000541>		
<http://purl.obolibrary.org/obo/FBbi_00000420>		
<http://purl.obolibrary.org/obo/FBbi_00000323>		
<http://purl.obolibrary.org/obo/FBbi_00000202>		
<http://purl.obolibrary.org/obo/FBbi_00000565>		
<http://purl.obolibrary.org/obo/FBbi_00000444>		
<http://purl.obolibrary.org/obo/FBbi_00000432>		
<http://purl.obolibrary.org/obo/FBbi_00000553>		
<http://purl.obolibrary.org/obo/FBbi_00100002>	"A visualization method that detects the natural fluorescence emitted by endogenous biological structures or compounds."	
<http://purl.obolibrary.org/obo/FBbi_00000392>	"Illumination and detection via a thin slit"	
<http://purl.obolibrary.org/obo/FBbi_00000359>		
<http://purl.obolibrary.org/obo/FBbi_00000008>		
<http://purl.obolibrary.org/obo/FBbi_00000238>		
<http://purl.obolibrary.org/obo/FBbi_00000117>		
<http://purl.obolibrary.org/obo/FBbi_00000468>		
<http://purl.obolibrary.org/obo/FBbi_00000577>		
<http://purl.obolibrary.org/obo/FBbi_00000456>		
<http://purl.obolibrary.org/obo/FBbi_00000335>		
<http://purl.obolibrary.org/obo/FBbi_00000214>		
<http://purl.obolibrary.org/obo/FBbi_00000105>		
<http://purl.obolibrary.org/obo/FBbi_00000347>		
<http://purl.obolibrary.org/obo/FBbi_00000226>		
<http://purl.obolibrary.org/obo/FBbi_00000373>	"Imaged formed using electrons undergoing elastic scattering at very high angles, with emission of characteristic X-rays"	
<http://purl.obolibrary.org/obo/IAO_0000027>	"An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."@en	
<http://purl.obolibrary.org/obo/FBbi_00000201>		
<http://purl.obolibrary.org/obo/FBbi_00000552>		
<http://purl.obolibrary.org/obo/FBbi_00000431>		
<http://purl.obolibrary.org/obo/FBbi_00000322>		
<http://purl.obolibrary.org/obo/FBbi_00000334>		
<http://purl.obolibrary.org/obo/FBbi_00000213>		
<http://purl.obolibrary.org/obo/FBbi_00000540>		
<http://purl.obolibrary.org/obo/FBbi_00000576>		
<http://purl.obolibrary.org/obo/FBbi_00000455>		
<http://purl.obolibrary.org/obo/FBbi_00000564>		
<http://purl.obolibrary.org/obo/FBbi_00000443>		
<http://purl.obolibrary.org/obo/FBbi_00000310>		
<http://purl.obolibrary.org/obo/BFO_0000001>		
<http://purl.obolibrary.org/obo/FBbi_00000249>		
<http://purl.obolibrary.org/obo/FBbi_00000128>		
<http://purl.obolibrary.org/obo/FBbi_00000479>		
<http://purl.obolibrary.org/obo/FBbi_00000019>		
<http://purl.obolibrary.org/obo/FBbi_00000467>		
<http://purl.obolibrary.org/obo/FBbi_00100007>	"A visualization method that detects a green fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000007>		
<http://purl.obolibrary.org/obo/FBbi_00000588>		
<http://purl.obolibrary.org/obo/FBbi_00000225>		
<http://purl.obolibrary.org/obo/FBbi_00000104>		
<http://purl.obolibrary.org/obo/FBbi_00000116>		
<http://purl.obolibrary.org/obo/FBbi_00000358>		
<http://purl.obolibrary.org/obo/FBbi_00000237>		
<http://purl.obolibrary.org/obo/PATO_0000001>	"A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities"	
<http://purl.obolibrary.org/obo/BFO_0000002>	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."@en	
<http://purl.obolibrary.org/obo/FBbi_00000354>	"A computational method that is linear in the mathematical sense, meaning that image intensity is conserved and the data remain suitable for all quantitative analyses"	
<http://purl.obolibrary.org/obo/FBbi_00000241>	"Methods for forming images of objects too small to be observed with the unaided eye"	
<http://purl.obolibrary.org/obo/FBbi_00000301>		
<http://purl.obolibrary.org/obo/FBbi_00000543>		
<http://purl.obolibrary.org/obo/FBbi_00000422>		
<http://purl.obolibrary.org/obo/FBbi_00000410>		
<http://purl.obolibrary.org/obo/FBbi_00000531>		
<http://purl.obolibrary.org/obo/BFO_0000016>		
<http://purl.obolibrary.org/obo/GO_0003674>	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	
<http://purl.obolibrary.org/obo/BFO_0000004>		
<http://purl.obolibrary.org/obo/FBbi_00000291>	"Illumination is distributed asymmetrically around the optic axis, typically achieved by a non-circular stop placed below the lower lens element and aperture of the condenser."	
<http://purl.obolibrary.org/obo/FBbi_00000446>		
<http://purl.obolibrary.org/obo/FBbi_00000107>		
<http://purl.obolibrary.org/obo/FBbi_00000337>		
<http://purl.obolibrary.org/obo/FBbi_00000216>		
<http://purl.obolibrary.org/obo/FBbi_00000567>		
<http://purl.obolibrary.org/obo/FBbi_00000228>		
<http://purl.obolibrary.org/obo/FBbi_00000555>		
<http://purl.obolibrary.org/obo/FBbi_00000434>		
<http://purl.obolibrary.org/obo/FBbi_00000313>		
<http://purl.obolibrary.org/obo/FBbi_00000458>		
<http://purl.obolibrary.org/obo/FBbi_00000325>		
<http://purl.obolibrary.org/obo/FBbi_00000204>		
<http://purl.obolibrary.org/obo/FBbi_00000119>		
<http://purl.obolibrary.org/obo/FBbi_00000530>		
<http://purl.obolibrary.org/obo/FBbi_00000300>		
<http://purl.obolibrary.org/obo/FBbi_00000312>		
<http://purl.obolibrary.org/obo/FBbi_00000554>		
<http://purl.obolibrary.org/obo/FBbi_00000433>		
<http://purl.obolibrary.org/obo/FBbi_00000542>		
<http://purl.obolibrary.org/obo/FBbi_00000421>		
<http://purl.obolibrary.org/obo/FBbi_00000293>	"Illumination at angles less than the acceptance angle of the image-forming lens is attenuated by a filter to give a colored background of unscattered light; higher angle illumination may be filtered to give a contrasting color"	
<http://purl.obolibrary.org/obo/FBbi_00050000>	"A method of reconstructing 3D structure by combining focussed ion beam milling to remove sucessive layers from a sample block with scanning EM to image the exposed surface between each milling step."	
<http://purl.obolibrary.org/obo/BFO_0000015>		
<http://purl.obolibrary.org/obo/BFO_0000040>	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."@en	
<http://purl.obolibrary.org/obo/FBbi_00000348>		
<http://purl.obolibrary.org/obo/FBbi_00000227>		
<http://purl.obolibrary.org/obo/FBbi_00000578>		
<http://purl.obolibrary.org/obo/FBbi_00000457>		
<http://purl.obolibrary.org/obo/FBbi_00000566>		
<http://purl.obolibrary.org/obo/FBbi_00000445>		
<http://purl.obolibrary.org/obo/FBbi_00000239>		
<http://purl.obolibrary.org/obo/FBbi_00000106>		
<http://purl.obolibrary.org/obo/FBbi_00000118>		
<http://purl.obolibrary.org/obo/FBbi_00000324>		
<http://purl.obolibrary.org/obo/FBbi_00000203>		
<http://purl.obolibrary.org/obo/IAO_0000409>	"A denotator type indicates how a term should be interpreted from an ontological perspective."@en	
<http://purl.obolibrary.org/obo/FBbi_00000215>		
<http://purl.obolibrary.org/obo/FBbi_00000469>		
<http://purl.obolibrary.org/obo/FBbi_00000336>		
<http://purl.obolibrary.org/obo/FBbi_00000009>		
